Execution Time: 80932.8ms
	Jeff Goldblum, depth=0, num children=36
		Chain of Fools, depth=1, num children=21
				Peter Kelamis, depth=2, num children=6
								Edison, depth=3, num children=0
								The Art of War II: Betrayal, depth=3, num children=0
								50/50, depth=3, num children=0
								The Cabin in the Woods, depth=3, num children=0
								The Unauthorized Full House Story, depth=3, num children=0
								Killing Gunther, depth=3, num children=0
				James Bamford, depth=2, num children=0
				John Cassini, depth=2, num children=5
								Get Carter, depth=3, num children=0
								Catwoman, depth=3, num children=0
								Chaos, depth=3, num children=0
								Love and Other Dilemmas, depth=3, num children=0
								A Dog's Way Home, depth=3, num children=0
				Michael Kopsa, depth=2, num children=3
								Pressure, depth=3, num children=0
								Transparency, depth=3, num children=0
								Little Pink House, depth=3, num children=0
				Sluggo Boyce, depth=2, num children=0
				Craig Ferguson, depth=2, num children=9
								Saving Grace, depth=3, num children=0
								Born Romantic, depth=3, num children=0
								The Soul Keeper, depth=3, num children=0
								Life Without Dick, depth=3, num children=0
								I'll Be There, depth=3, num children=0
								Lemony Snicket's A Series of Unfortunate Events, depth=3, num children=0
								Niagara Motel, depth=3, num children=0
								The Ugly Truth, depth=3, num children=0
								Kick-Ass, depth=3, num children=0
				Salma Hayek, depth=2, num children=40
								Dogma, depth=3, num children=0
								Timecode, depth=3, num children=0
								Traffic, depth=3, num children=0
								Welcome to Hollywood, depth=3, num children=0
								Hotel, depth=3, num children=0
								Frida, depth=3, num children=0
								Searching for Debra Winger, depth=3, num children=0
								Once Upon a Time in Mexico, depth=3, num children=0
								Spy Kids 3-D: Game Over, depth=3, num children=0
								V-Day: Until the Violence Stops, depth=3, num children=0
								After the Sunset, depth=3, num children=0
								Ask the Dust, depth=3, num children=0
								Bandidas, depth=3, num children=0
								Lonely Hearts, depth=3, num children=0
								Across the Universe, depth=3, num children=0
								Home, depth=3, num children=0
								Cirque du Freak: The Vampire's Assistant, depth=3, num children=0
								Grown Ups, depth=3, num children=0
								Americano, depth=3, num children=0
								Savages, depth=3, num children=0
								Here Comes the Boom, depth=3, num children=0
								Grown Ups 2, depth=3, num children=0
								Muppets Most Wanted, depth=3, num children=0
								How to Make Love Like an Englishman, depth=3, num children=0
								The Prophet, depth=3, num children=0
								Everly, depth=3, num children=0
								Septembers of Shiraz, depth=3, num children=0
								Tale of Tales, depth=3, num children=0
								The Hitman's Bodyguard, depth=3, num children=0
								Beatriz at Dinner, depth=3, num children=0
								How to Be a Latin Lover, depth=3, num children=0
								The Hummingbird Project, depth=3, num children=0
								Like a Boss, depth=3, num children=0
								The Roads Not Taken, depth=3, num children=0
								Eternals, depth=3, num children=0
								Hitman's Wife's Bodyguard, depth=3, num children=0
								Bliss, depth=3, num children=0
								House of Gucci, depth=3, num children=0
								Magic Mike's Last Dance, depth=3, num children=0
								Without Blood, depth=3, num children=0
				Tom Wilkinson, depth=2, num children=52
								The Patriot, depth=3, num children=0
								In the Bedroom, depth=3, num children=0
								Ride with the Devil, depth=3, num children=0
								Black Knight, depth=3, num children=0
								The Importance of Being Earnest, depth=3, num children=0
								Before You Go, depth=3, num children=0
								Girl with a Pearl Earring, depth=3, num children=0
								Eternal Sunshine of the Spotless Mind, depth=3, num children=0
								Stage Beauty, depth=3, num children=0
								If Only, depth=3, num children=0
								A Good Woman, depth=3, num children=0
								Batman Begins, depth=3, num children=0
								The Exorcism of Emily Rose, depth=3, num children=0
								Ripley Under Ground, depth=3, num children=0
								Separate Lies, depth=3, num children=0
								Piccadilly Jim, depth=3, num children=0
								The Last Kiss, depth=3, num children=0
								The Night of the White Pants, depth=3, num children=0
