Execution Time: 8454.1ms
				Rory Culkin, depth=2, num children=0
				Bill Irwin, depth=2, num children=0
				Claire Danes, depth=2, num children=0
				Glenn Fitzgerald, depth=2, num children=0
				Nick Wyman, depth=2, num children=0
				Jim Gaffigan, depth=2, num children=0
				Reg Rogers, depth=2, num children=0
		Dallas 362, depth=1, num children=10
				James Caan, depth=2, num children=0
				Isla Fisher, depth=2, num children=0
				Marley Shelton, depth=2, num children=0
				Kelly Lynch, depth=2, num children=0
				Selma Blair, depth=2, num children=0
				Scott Caan, depth=2, num children=0
				Bob Gunton, depth=2, num children=0
				Freddy Rodriguez, depth=2, num children=0
				Heavy D, depth=2, num children=0
				Shawn Hatosy, depth=2, num children=0
		Spinning Boris, depth=1, num children=11
				Shauna MacDonald, depth=2, num children=0
				Liev Schreiber, depth=2, num children=0
				Anthony LaPaglia, depth=2, num children=0
				Dmitry Chepovetsky, depth=2, num children=0
				Shauna Macdonald, depth=2, num children=0
				Gregory Hlady, depth=2, num children=0
				Jason Jones, depth=2, num children=0
				Judah Katz, depth=2, num children=0
				Ilia Volok, depth=2, num children=0
				Sergei Priselkov, depth=2, num children=0
				Svetlana Efremova, depth=2, num children=0
		Abby Singer, depth=1, num children=20
				Adam Carolla, depth=2, num children=0
				Jennifer Aniston, depth=2, num children=0
				Brad Pitt, depth=2, num children=0
				Jodie Foster, depth=2, num children=0
				Patrick Swayze, depth=2, num children=0
				Robert Redford, depth=2, num children=0
				Jake Gyllenhaal, depth=2, num children=0
				Daniel Day-Lewis, depth=2, num children=0
				Lloyd Kaufman, depth=2, num children=0
				Matt Dillon, depth=2, num children=0
				Robin Tunney, depth=2, num children=0
				Patricia Arquette, depth=2, num children=0
				Jill Hennessy, depth=2, num children=0
				Don Cheadle, depth=2, num children=0
				Kieran Culkin, depth=2, num children=0
				John Waters, depth=2, num children=0
				Taye Diggs, depth=2, num children=0
				Stockard Channing, depth=2, num children=0
				Jay O. Sanders, depth=2, num children=0
				Mark Borchardt, depth=2, num children=0
		Incident at Loch Ness, depth=1, num children=8
				Zak Penn, depth=2, num children=0
				Werner Herzog, depth=2, num children=0
				Crispin Glover, depth=2, num children=0
				John Bailey, depth=2, num children=0
				Ricky Jay, depth=2, num children=0
				彼得罗·斯卡利亚, depth=2, num children=0
				Gabriel Beristáin, depth=2, num children=0
				Kitana Baker, depth=2, num children=0
		The Life Aquatic with Steve Zissou, depth=1, num children=17
				Bill Murray, depth=2, num children=0
				Waris Ahluwalia, depth=2, num children=0
				Bud Cort, depth=2, num children=0
				Cate Blanchett, depth=2, num children=0
